"","gene_id","gene_symbol","number_of_mirs_targeting","TF","gene_fxn_pigm","kd_pt_fA6"
"","40619","dpr16",16,NA,NA,NA
"","44835","m",31,NA,NA,NA
"","3355084","Snap25",27,NA,NA,NA
"","39600","CG13474",1,NA,NA,NA
"","32271","CG12723",9,NA,NA,NA
"","44115","Rgl",27,NA,NA,NA
"","40718","CG1218",2,NA,NA,NA
"","38432","ImpE2",9,NA,NA,NA
"","31497","CG4078",10,NA,NA,NA
"","35319","CG15475",7,NA,NA,NA
"","43833","toy",9,NA,NA,NA
"","50439","CG13130",2,NA,NA,NA
"","5740235","RhoGAP1A",23,NA,NA,NA
"","37782","CG4585",16,NA,NA,NA
"","43750","CG2118",15,NA,NA,NA
"","41450","Tango9",15,NA,NA,NA
"","41091","CG18005",13,NA,NA,NA
"","37306","CG8929",15,NA,NA,NA
"","38810","CG8600",14,NA,NA,NA
"","34722","CG16812",13,NA,NA,NA
"","33308","CG5001",9,NA,NA,NA
"","40741","CG11459",3,NA,NA,NA
"","34031","Pbprp5",4,NA,NA,NA
"","43556","CG15525",8,NA,NA,NA
"","33465","Trn-SR",13,NA,NA,NA
"","32077","CG1737",17,NA,NA,NA
"","42550","E2f",32,NA,NA,NA
"","35427","CG31612",15,NA,NA,NA
"","39164","Taf2",15,NA,NA,NA
"","42828","Pros26.4",3,NA,NA,NA
"","35816","CSN7",6,NA,NA,NA
"","43542","trp",4,NA,NA,NA
"","32493","CG7872",16,NA,NA,NA
"","37808","fzr2",1,NA,NA,NA
"","42808","CG10219",10,NA,NA,NA
"","32537","Chc",23,NA,NA,NA
"","36396","nemy",30,NA,NA,NA
"","35400","CG8671",2,NA,NA,NA
"","34762","CG9267",4,NA,NA,NA
"","41867","CG5038",21,NA,NA,NA
"","42875","CG5515",8,NA,NA,NA
"","35192","l(2)37Cb",4,NA,NA,NA
"","39131","CG16719",4,NA,NA,NA
"","43353","mfrn",24,NA,NA,NA
"","37481","HmgD",23,NA,NA,NA
"","31139","CG14814",14,NA,NA,NA
"","35234","CG10189",6,NA,NA,NA
"","38727","Best2",29,NA,NA,NA
"","5740752","CG34183",7,NA,NA,NA
"","35790","CG8709",10,NA,NA,NA
"","41714","CG12402",16,NA,NA,NA
"","36071","KCNQ",5,NA,NA,NA
"","35814","CG2121",9,NA,NA,NA
"","33837","lid",16,NA,NA,NA
"","36560","Rcd1",9,NA,NA,NA
"","326206","CG11583",8,NA,NA,NA
"","35125","CG10341",12,NA,NA,NA
"","38350","spz5",18,NA,NA,NA
"","44121","TotA",16,NA,NA,NA
"","37478","Tim10",5,NA,NA,NA
"","31721","CG2233",10,NA,NA,NA
"","326123","CG31161",6,NA,NA,NA
"","36986","MESR4",10,NA,NA,NA
"","41047","CG8236",1,NA,NA,NA
"","317855","CG32106",4,NA,NA,NA
"","38644","Ubp64E",1,NA,NA,NA
"","36027","CG30007",14,NA,NA,NA
"","31443","TrxT",19,NA,NA,NA
"","39627","mRpL39",10,NA,NA,NA
"","34524","aub",6,NA,NA,NA
"","35780","cul-4",15,NA,NA,NA
"","34715","CG16972",13,NA,NA,NA
"","3355160","CG42346",36,NA,NA,NA
"","34995","Cyt-c-d",2,NA,NA,NA
"","42379","mira",16,NA,NA,NA
"","33202","Hop",13,NA,NA,NA
"","37458","CG10433",27,NA,NA,NA
"","38459","mge",3,NA,NA,NA
"","33287","CG14340",6,NA,NA,NA
"","38836","Tsp66A",22,NA,NA,NA
"","40717","Rpn5",4,NA,NA,NA
"","41192","CG8417",9,NA,NA,NA
"","42136","CG7431",5,NA,NA,NA
"","32163","CG1806",15,NA,NA,NA
"","31833","CG7246",5,NA,NA,NA
"","37723","CG5360",28,NA,NA,NA
"","31005","CG13365",2,NA,NA,NA
"","35261","Nf-YB",24,NA,NA,NA
"","38486","CG14990",3,NA,NA,NA
"","246485","CG30152",5,NA,NA,NA
"","32140","p24-1",7,NA,NA,NA
"","41868","CG6194",29,NA,NA,NA
"","31838","CG7033",24,NA,NA,NA
"","36265","TwdlBeta",7,NA,NA,NA
"","35528","dream",11,NA,NA,NA
"","43429","CG11837",13,NA,NA,NA
"","45399","Aats-trp",32,NA,NA,NA
"","43476","Trc8",26,NA,NA,NA
"","41661","CG9759",36,NA,NA,NA
"","40388","Pros54",10,NA,NA,NA
"","42682","Cyp6d4",22,NA,NA,NA
"","41771","CG14853",25,NA,NA,NA
"","36779","Jhedup",6,NA,NA,NA
"","43067","CHKov1",11,NA,NA,NA
"","43110","CG17198",4,NA,NA,NA
"","246580","CG30381",10,NA,NA,NA
"","37551","T3dh",17,NA,NA,NA
"","317831","CG32033",11,NA,NA,NA
"","43624","PH4alphaMP",13,NA,NA,NA
"","43830","CG11076",5,NA,NA,NA
"","39413","CG32104",4,NA,NA,NA
"","50070","mask",44,NA,NA,NA
"","318623","GluRIIE",22,NA,NA,NA
"","34808","Ance-3",13,NA,NA,NA
"","46140","l(3)02640",5,NA,NA,NA
"","42392","trem",4,NA,NA,NA
"","40228","CG6480",4,NA,NA,NA
"","41630","CG15888",2,NA,NA,NA
"","43594","RpS7",5,NA,NA,NA
"","40231","CG6597",20,NA,NA,NA
"","38049","ttm2",6,NA,NA,NA
"","39264","CG14141",8,NA,NA,NA
"","37219","Rgk1",17,NA,NA,NA
"","59151","mRpL36",5,NA,NA,NA
"","46080","Sec61beta",17,NA,NA,NA
"","41810","CG14861",14,NA,NA,NA
"","36847","loopin-1",6,NA,NA,NA
"","39107","CG3408",23,NA,NA,NA
"","33211","alpha-Adaptin",35,NA,NA,NA
"","36638","Rpn6",14,NA,NA,NA
"","41919","spn-E",12,NA,NA,NA
"","44785","tan",11,NA,NA,NA
"","33655","CG15435",14,NA,NA,NA
"","41395","CG14711",14,NA,NA,NA
"","37522","CG30280",5,NA,NA,NA
"","37832","CG3907",21,NA,NA,NA
"","42777","CG10164",14,NA,NA,NA
"","35485","d4",5,NA,NA,NA
"","318555","CG31010",9,NA,NA,NA
"","36297","CG18343",6,NA,NA,NA
"","41896","CG6045",8,NA,NA,NA
"","39834","CG33158",15,NA,NA,NA
"","53558","wun2",7,NA,NA,NA
"","38978","rhea",31,NA,NA,NA
"","33447","CG15395",8,NA,NA,NA
"","41745","CG3321",11,NA,NA,NA
"","326258","CG33109",8,NA,NA,NA
"","32234","CG3775",13,NA,NA,NA
"","43041","Nup358",6,NA,NA,NA
"","43266","CG5815",18,NA,NA,NA
"","50002","CG9603",8,NA,NA,NA
"","5740252","Not1",14,NA,NA,NA
"","3355069","CG17691",28,NA,NA,NA
"","39539","Meics",3,NA,NA,NA
"","36550","CG6701",21,NA,NA,NA
"","42557","CG31233",1,NA,NA,NA
"","35104","kon",20,NA,NA,NA
"","34189","Acer",9,NA,NA,NA
"","41844","Set",8,NA,NA,NA
"","37514","CG11474",4,NA,NA,NA
"","32955","CG14207",16,NA,NA,NA
"","31311","CG12535",2,NA,NA,NA
"","32190","CG2574",5,NA,NA,NA
"","318930","nimA",16,NA,NA,NA
"","31105","CG14782",17,NA,NA,NA
"","5740185","Ucrh",4,NA,NA,NA
"","43762","CG2053",14,NA,NA,NA
"","38238","GV1",15,NA,NA,NA
"","34138","CG7818",5,NA,NA,NA
"","34531","Acp32CD",7,NA,NA,NA
"","38207","CG7974",10,NA,NA,NA
"","40492","CG11241",7,NA,NA,NA
"","40898","CG1287",7,NA,NA,NA
"","33755","Cyp4ac2",3,NA,NA,NA
"","35314","CG31688",32,NA,NA,NA
"","35827","CG8693",1,NA,NA,NA
"","33649","Elp3",8,NA,NA,NA
"","326172","CG31918",14,NA,NA,NA
"","33209","CG4213",12,NA,NA,NA
"","35936","CG8046",21,NA,NA,NA
"","42822","TfIIA-S",6,NA,NA,NA
"","38412","CG11526",12,NA,NA,NA
"","50364","CG13364",6,NA,NA,NA
"","318071","CG32523",9,NA,NA,NA
"","38419","Drs",17,NA,NA,NA
"","42367","ninaE",15,NA,NA,NA
"","38218","drpr",14,NA,NA,NA
"","32673","CG13004",7,NA,NA,NA
"","35002","ChLD3",21,NA,NA,NA
"","42553","DNApol-alpha180",11,NA,NA,NA
"","42208","WRNexo",19,NA,NA,NA
"","36478","CG17047",5,NA,NA,NA
"","42118","CG14327",6,NA,NA,NA
"","34958","CG17329",5,NA,NA,NA
"","42050","CG8907",13,NA,NA,NA
"","36749","CG8297",18,NA,NA,NA
"","38945","CG7112",18,NA,NA,NA
"","5740813","CG34447",4,NA,NA,NA
"","40099","CG14085",12,NA,NA,NA
"","40936","CG2846",19,NA,NA,NA
"","38736","sfl",14,NA,NA,NA
"","41634","CG8773",4,NA,NA,NA
"","39138","CG18178",3,NA,NA,NA
"","41089","Mst85C",20,NA,NA,NA
"","38147","CG9149",6,NA,NA,NA
"","3771738","CG9510",27,NA,NA,NA
"","38075","Reg-2",1,NA,NA,NA
"","31603","Mcm6",2,NA,NA,NA
"","34125","CG8292",10,NA,NA,NA
"","37124","CG5190",3,NA,NA,NA
"","326135","CG31357",11,NA,NA,NA
"","50420","CG14033",8,NA,NA,NA
"","40699","Xe7",4,NA,NA,NA
"","31965","CG17841",13,NA,NA,NA
"","38170","robl62A",15,NA,NA,NA
"","34293","Taf11",5,NA,NA,NA
"","41648","CG14375",16,NA,NA,NA
"","36286","pds5",33,NA,NA,NA
"","34743","CG9377",2,NA,NA,NA
"","41768","CG7987",25,NA,NA,NA
"","50287","CG14113",10,NA,NA,NA
"","37988","CG2811",9,NA,NA,NA
"","33461","Pgk",2,NA,NA,NA
"","39438","sowah",33,NA,NA,NA
"","49779","PpD3",36,NA,NA,NA
"","32028","Myo10A",22,NA,NA,NA
"","41931","CG3303",15,NA,NA,NA
"","41000","CG9684",7,NA,NA,NA
"","39573","CG7768",13,NA,NA,NA
"","41203","CG8500",40,NA,NA,NA
"","38079","Rev1",7,NA,NA,NA
"","36124","CG12934",10,NA,NA,NA
"","31524","CG3011",4,NA,NA,NA
"","32359","CG12480",6,NA,NA,NA
"","33846","CG9117",9,NA,NA,NA
"","3885575","CG33977",8,NA,NA,NA
"","40654","RpL35A",5,NA,NA,NA
"","37146","CG30122",19,NA,NA,NA
"","34058","CG7191",32,NA,NA,NA
"","39887","Rh4",7,NA,NA,NA
"","32022","CG15208",8,NA,NA,NA
"","32120","PhKgamma",31,NA,NA,NA
"","36662","Cyp6a19",14,NA,NA,NA
"","42319","CG18493",6,NA,NA,NA
"","36516","CG12464",5,NA,NA,NA
"","37884","CG3376",23,NA,NA,NA
"","32534","PGRP-LE",4,NA,NA,NA
"","38654","S6k",20,NA,NA,NA
"","34336","obst-B",1,NA,NA,NA
"","41718","Abi",31,NA,NA,NA
"","5740769","CG34252",25,NA,NA,NA
"","318952","CG31805",8,NA,NA,NA
"","35129","Faf",8,NA,NA,NA
"","326169","CG31883",9,NA,NA,NA
"","37820","CG3825",14,NA,NA,NA
"","33369","CG10908",7,NA,NA,NA
"","42381","CG4783",5,NA,NA,NA
"","42324","CG3517",6,NA,NA,NA
"","43202","TwdlB",9,NA,NA,NA
"","39934","CG7692",17,NA,NA,NA
"","38291","ecd",7,NA,NA,NA
"","40785","CG31367",8,NA,NA,NA
"","43571","Sry-alpha",14,NA,NA,NA
"","35074","CG5681",3,NA,NA,NA
"","40624","CG1115",10,NA,NA,NA
"","38405","CG12009",7,NA,NA,NA
"","41261","CG12818",3,NA,NA,NA
"","31489","CG3149",19,NA,NA,NA
"","319025","CG31915",23,NA,NA,NA
"","53443","SF2",22,NA,NA,NA
"","47396","Tor",11,NA,NA,NA
"","40712","sec8",13,NA,NA,NA
"","246551","CG30343",22,NA,NA,NA
"","36517","CG6209",8,NA,NA,NA
"","41785","eff",18,NA,NA,NA
"","59140","CG18744",10,NA,NA,NA
"","40449","CG7133",6,NA,NA,NA
"","31036","CG11663",10,NA,NA,NA
"","36911","CG6805",17,NA,NA,NA
"","39788","CG13049",4,NA,NA,NA
"","50356","CG34401",23,NA,NA,NA
"","31070","CG11398",22,NA,NA,NA
"","41879","h-cup",21,NA,NA,NA
"","35386","CG9246",8,NA,NA,NA
"","36601","Dh44-R1",7,NA,NA,NA
"","39218","CG6418",18,NA,NA,NA
"","34186","mRpL51",2,NA,NA,NA
"","3355079","CG40045",12,NA,NA,NA
"","36381","CG8594",12,NA,NA,NA
"","44668","snRNP69D",10,NA,NA,NA
"","40506","Arf79F",30,NA,NA,NA
"","32664","Sap30",33,NA,NA,NA
"","34548","Csl4",5,NA,NA,NA
"","32074","CG11756",8,NA,NA,NA
"","41056","CG8359",26,NA,NA,NA
"","3355171","FucTC",1,NA,NA,NA
"","34467","CG17107",7,NA,NA,NA
"","3885606","CG34043",7,NA,NA,NA
"","37413","LSm1",4,NA,NA,NA
"","41201","CG12947",12,NA,NA,NA
"","31593","Pat1",20,NA,NA,NA
"","33530","gkt",9,NA,NA,NA
"","50003","PQBP-1",14,NA,NA,NA
"","44029","Aly",10,NA,NA,NA
"","35364","RPA2",11,NA,NA,NA
"","36752","Cyp4aa1",19,NA,NA,NA
"","40760","Osi6",27,NA,NA,NA
"","42443","CG15923",32,NA,NA,NA
"","37335","rig",14,NA,NA,NA
"","31565","Top3beta",24,NA,NA,NA
"","43588","CG1983",11,NA,NA,NA
"","34249","CG17005",1,NA,NA,NA
"","32095","Spase25",4,NA,NA,NA
"","36199","CG9062",22,NA,NA,NA
"","34595","esc",11,NA,NA,NA
"","42900","Dis3",14,NA,NA,NA
"","41084","tgo",21,NA,NA,NA
"","38386","CG14957",15,NA,NA,NA
"","41626","Ravus",4,NA,NA,NA
"","36413","Or49b",11,NA,NA,NA
"","42228","CG7691",4,NA,NA,NA
"","32047","Rpt3",3,NA,NA,NA
"","34699","CG9934",10,NA,NA,NA
"","42341","Vha13",7,NA,NA,NA
"","31623","CG4542",24,NA,NA,NA
"","41986","CG14880",10,NA,NA,NA
"","38141","CG9134",8,"n","B","B"
"","38694","CG6619",10,NA,NA,NA
"","36395","CG8776",14,NA,NA,NA
"","44071","Mcr",18,NA,NA,NA
"","42986","ssh",26,NA,NA,NA
"","37691","CG30412",12,NA,NA,NA
"","32201","CG2556",14,NA,NA,NA
"","42810","Lsd-1",10,NA,NA,NA
"","34549","Nup160",16,NA,NA,NA
"","43824","cals",18,NA,NA,NA
"","37999","emp",14,NA,NA,NA
"","34981","Idgf3",7,NA,NA,NA
"","43563","Mgat2",19,NA,NA,NA
"","36858","CG8303",24,NA,NA,NA
"","41300","CG4089",22,NA,NA,NA
"","40332","CG10565",7,NA,NA,NA
"","38957","Oseg1",5,NA,NA,NA
"","31671","CG1999",15,NA,NA,NA
"","46155","CG31195",13,NA,NA,NA
"","38774","Cpr65Eb",9,NA,NA,NA
"","32623","Arp14D",19,NA,NA,NA
"","41586","Cyp304a1",9,NA,NA,NA
"","31299","ng3",8,NA,NA,NA
"","31220","Ilp6",9,NA,NA,NA
"","318129","CG32628",19,NA,NA,NA
"","36109","CPTI",20,NA,NA,NA
"","40867","CG14605",15,NA,NA,NA
"","34753","CG7099",6,NA,NA,NA
"","48572","Hsp60B",5,NA,NA,NA
"","40841","CG1105",18,NA,NA,NA
"","42585","CG6332",4,NA,NA,NA
"","33337","CG10869",5,NA,NA,NA
"","38986","CG6372",10,NA,NA,NA
"","42188","CG18598",3,NA,NA,NA
"","37098","CG14505",17,NA,NA,NA
"","50289","CG12521",16,NA,NA,NA
"","39390","CAH2",12,NA,NA,NA
"","32582","CG3415",12,NA,NA,NA
"","2768973","Rpn12R",3,NA,NA,NA
"","34229","CG9573",7,NA,NA,NA
"","36497","drk",29,NA,NA,NA
"","43828","CaMKII",16,NA,NA,NA
"","43565","Axn",34,NA,NA,NA
"","41503","GstD1",15,NA,NA,NA
"","32858","Cyp18a1",15,NA,NA,NA
"","246507","CG30185",5,NA,NA,NA
"","33896","Tig",11,NA,NA,NA
"","43191","Hex-t2",3,NA,NA,NA
"","44291","Idh",4,NA,NA,NA
"","35635","Cyp9b2",4,NA,NA,NA
"","31798","CG12065",21,NA,NA,NA
"","37111","GstE6",3,NA,NA,NA
"","43162","gro",40,NA,NA,NA
"","39144","CG6749",9,NA,NA,NA
"","39753","th",4,NA,NA,NA
"","37987","CG3760",13,NA,NA,NA
"","33834","chic",22,NA,NA,NA
"","38746","ple",46,"n","D","L"
"","41908","CG9589",7,NA,NA,NA
"","41067","skap",4,NA,NA,NA
"","318859","CG31626",11,NA,NA,NA
"","31412","CG15471",6,NA,NA,NA
"","46156","Gug",43,"y","D","L"
"","35574","CG9422",1,NA,NA,NA
"","32529","Paf-AHalpha",14,NA,NA,NA
"","37334","CG13436",8,NA,NA,NA
"","41360","CG5214",6,NA,NA,NA
"","34752","CG9293",17,NA,NA,NA
"","41095","D1",10,NA,NA,NA
"","3772719","CG33964",32,NA,NA,NA
"","37497","CG13494",7,NA,NA,NA
"","3885584","CG34034",8,NA,NA,NA
"","36307","Oda",26,NA,NA,NA
"","42498","CG5745",3,NA,NA,NA
"","32782","CG6867",3,NA,NA,NA
"","2768909","CG15744",15,NA,NA,NA
"","32595","Cyp1",14,NA,NA,NA
"","318225","CG32816",21,NA,NA,NA
"","44409","Cbp80",24,NA,NA,NA
"","36037","Adam",15,NA,NA,NA
"","43514","Ice",17,NA,NA,NA
"","42280","CG14286",7,NA,NA,NA
"","34943","CG18063",4,NA,NA,NA
"","41603","CG12360",25,NA,NA,NA
"","43785","Rad23",6,NA,NA,NA
"","34021","CG5261",6,NA,NA,NA
"","45816","onecut",41,NA,NA,NA
"","40887","Mst84Dc",6,NA,NA,NA
"","47260","l(3)05822",23,NA,NA,NA
"","38109","Glut1",20,"n","L","D"
"","38088","CkIIalpha-i3",3,NA,NA,NA
"","39198","CG32062",29,NA,NA,NA
"","38821","akirin",21,NA,NA,NA
"","39233","CG6321",17,NA,NA,NA
"","3355129","CG17715",28,NA,NA,NA
"","39820","CG4729",12,NA,NA,NA
"","32198","Cpr11A",15,NA,NA,NA
"","32982","CG14231",14,NA,NA,NA
"","42460","CG17838",20,NA,NA,NA
"","40004","CG7341",8,NA,NA,NA
"","31896","CG32700",11,NA,NA,NA
"","246602","CG30415",10,NA,NA,NA
"","35030","CG4841",18,NA,NA,NA
"","38420","YT521-B",21,NA,NA,NA
"","43518","ca",27,NA,NA,NA
"","32761","CG6398",11,NA,NA,NA
"","35315","cdc23",7,NA,NA,NA
"","40159","CG15881",9,NA,NA,NA
"","34427","KdelR",7,NA,NA,NA
"","5740515","CG34178",21,NA,NA,NA
"","41398","Csk",38,NA,NA,NA
"","42656","CG5315",29,NA,NA,NA
"","3355155","CG40002",13,NA,NA,NA
"","45343","pk",13,NA,NA,NA
"","33450","Or23a",9,NA,NA,NA
"","32288","CG15747",24,NA,NA,NA
"","38913","Atg18",15,NA,NA,NA
"","40191","fat2",9,NA,NA,NA
"","5740503","CG34294",5,NA,NA,NA
"","43633","tmod",53,NA,NA,NA
"","39054","Rdl",9,NA,NA,NA
"","38753","Prat2",6,NA,NA,NA
"","39018","CG5741",34,NA,NA,NA
"","42801","CG10365",12,NA,NA,NA
"","40775","Osi18",14,NA,NA,NA
"","318725","Takl1",1,NA,NA,NA
"","40384","SAK",30,NA,NA,NA
"","46006","east",3,NA,NA,NA
"","39524","CG10743",11,NA,NA,NA
"","36584","CG8531",12,NA,NA,NA
"","42773","CG10175",19,NA,NA,NA
"","43483","CG1907",10,NA,NA,NA
"","35828","CG30359",7,NA,NA,NA
"","43579","CG7950",13,NA,NA,NA
"","42005","CG14899",17,NA,NA,NA
"","39558","blue",4,NA,NA,NA
"","40084","CG11577",19,NA,NA,NA
"","41608","CG11670",5,NA,NA,NA
"","33197","CG11601",8,NA,NA,NA
"","37292","RpS18",7,NA,NA,NA
"","41807","RpS5b",6,NA,NA,NA
"","35210","CG17350",11,NA,NA,NA
"","43490","Bub3",3,NA,NA,NA
"","42194","CG7142",6,NA,NA,NA
"","37922","Nurf-38",6,NA,NA,NA
"","40723","Hpr1",5,NA,NA,NA
"","40351","pzg",24,NA,NA,NA
"","38909","Nmt",12,NA,NA,NA
"","38543","CG11347",18,NA,NA,NA
"","43637","CG2246",4,NA,NA,NA
"","261613","CG31908",11,NA,NA,NA
"","31716","sws",13,NA,NA,NA
"","32859","Cyp308a1",2,NA,NA,NA
"","40557","CG9853",7,NA,NA,NA
"","31899","CG32699",38,NA,NA,NA
"","32701","CG5010",13,NA,NA,NA
"","42762","CG4408",18,NA,NA,NA
"","35783","CG30372",13,NA,NA,NA
"","32317","BthD",8,NA,NA,NA
"","36373","achi",24,NA,NA,NA
"","42186","14-3-3epsilon",13,NA,NA,NA
"","35421","CG2225",9,NA,NA,NA
"","33850","CG9135",16,NA,NA,NA
"","34950","Ca-alpha1D",27,NA,NA,NA
"","41136","RhoL",16,NA,NA,NA
"","43447","Pglym78",10,NA,NA,NA
"","31215","CG2918",6,NA,NA,NA
"","39064","PGRP-LF",13,NA,NA,NA
"","39167","CG14164",6,NA,NA,NA
"","37713","skpF",3,NA,NA,NA
"","48805","Catsup",5,NA,NA,NA
"","34075","TwdlE",16,NA,NA,NA
"","37367","Rx",10,NA,NA,NA
"","42140","CG7379",16,NA,NA,NA
"","251916","CG32235",2,NA,NA,NA
"","39715","pgant8",15,NA,NA,NA
"","37322","CG13424",20,NA,NA,NA
"","33125","CG42343",21,NA,NA,NA
"","38130","LysS",2,NA,NA,NA
"","38323","CG16985",13,NA,NA,NA
"","43689","CG1544",3,NA,NA,NA
"","37431","CG9752",1,NA,NA,NA
"","37047","elk",16,NA,NA,NA
"","41086","hyx",12,NA,NA,NA
"","37318","CG30148",13,NA,NA,NA
"","43327","Sce",8,NA,NA,NA
"","44150","RpS15Aa",5,NA,NA,NA
"","32869","CG6961",13,NA,NA,NA
"","33358","CG17650",5,NA,NA,NA
"","42318","CG3734",2,NA,NA,NA
"","40982","Sgt1",14,NA,NA,NA
"","2768946","CG33278",15,NA,NA,NA
"","40576","CG9775",14,NA,NA,NA
"","33937","cort",10,NA,NA,NA
"","249170","CG32236",6,NA,NA,NA
"","31277","CG3526",7,NA,NA,NA
"","32989","CG14235",9,NA,NA,NA
"","42328","CG15025",5,NA,NA,NA
"","43068","CHKov2",15,NA,NA,NA
"","36632","mspo",16,NA,NA,NA
"","50366","CG14634",6,NA,NA,NA
"","32221","CkIalpha",17,NA,NA,NA
"","318678","CG31315",3,NA,NA,NA
"","49821","PebIII",6,NA,NA,NA
"","40850","Alh",42,NA,NA,NA
"","31157","CG3573",10,NA,NA,NA
"","31375","CG12693",10,NA,NA,NA
"","5740541","CG34180",7,NA,NA,NA
"","32943","CG32532",19,NA,NA,NA
"","34642","CG31760",21,NA,NA,NA
"","32677","CG9104",11,NA,NA,NA
"","36279","CG33145",32,NA,NA,NA
"","38346","pgant6",20,NA,NA,NA
"","40248","Ide",9,NA,NA,NA
"","42450","Cpr92F",12,NA,NA,NA
"","35374","CG12050",7,NA,NA,NA
"","39829","Aats-tyr",15,NA,NA,NA
"","33585","CG15418",3,NA,NA,NA
"","32558","CG8928",8,NA,NA,NA
"","44359","sda",35,NA,NA,NA
"","38337","CG12187",42,NA,NA,NA
"","3354992","CG2893",16,NA,NA,NA
"","46020","NAT1",11,NA,NA,NA
"","32468","cngl",3,NA,NA,NA
"","43402","WASp",25,NA,NA,NA
"","33574","CG3213",11,NA,NA,NA
"","38241","Cpr62Bc",19,NA,NA,NA
"","31019","CG13361",3,NA,NA,NA
"","40952","CG10903",4,NA,NA,NA
"","32495","CG8097",5,NA,NA,NA
"","34408","dpr19",29,NA,NA,NA
"","34281","Trx-2",11,NA,NA,NA
"","31148","CG14806",14,NA,NA,NA
"","36515","CG18369",3,NA,NA,NA
"","50126","IM4",10,NA,NA,NA
"","39654","Msh6",32,NA,NA,NA
"","32170","Cyp311a1",13,NA,NA,NA
"","38262","CG1927",5,NA,NA,NA
"","43718","pygo",26,NA,NA,NA
"","31578","CG3446",4,NA,NA,NA
"","33401","CG7082",16,NA,NA,NA
"","326255","4EHP",16,NA,NA,NA
"","326226","CG32647",5,NA,NA,NA
"","32877","CG34422",6,NA,NA,NA
"","53564","retinin",8,NA,NA,NA
"","36499","mip120",10,NA,NA,NA
"","39147","CG8177",26,NA,NA,NA
"","42029","Cctgamma",21,NA,NA,NA
"","38181","CG12099",15,NA,NA,NA
"","37461","PTP-ER",30,NA,NA,NA
"","32035","CG1552",10,NA,NA,NA
"","32777","Vps4",21,NA,NA,NA
"","3354996","CG17168",5,NA,NA,NA
"","34282","GlcAT-S",25,NA,NA,NA
"","59141","CG18745",6,NA,NA,NA
"","33474","daw",9,NA,NA,NA
"","42066","cher",16,NA,NA,NA
"","38575","CG12493",15,NA,NA,NA
"","38485","CG14989",26,NA,NA,NA
"","31912","btd",15,NA,NA,NA
"","40030","not",8,NA,NA,NA
"","33518","CG17259",8,NA,NA,NA
"","317940","CG32252",8,NA,NA,NA
"","326262","CG33123",7,NA,NA,NA
"","40565","CG9804",12,NA,NA,NA
"","3772359","CG33704",4,NA,NA,NA
"","3355138","CG17486",3,NA,NA,NA
"","36726","Flo",16,NA,NA,NA
"","39220","CG6409",7,NA,NA,NA
"","318638","CG31231",6,NA,NA,NA
"","31155","CG17766",16,NA,NA,NA
"","50442","CG14933",19,NA,NA,NA
"","3355089","mRpS5",6,NA,NA,NA
"","31352","CG6414",4,NA,NA,NA
"","39429","sti",17,NA,NA,NA
"","31759","CG2147",7,NA,NA,NA
"","31927","CG1791",2,NA,NA,NA
"","32135","CG1578",11,NA,NA,NA
"","32994","vfl",27,"y","L","D"
"","35316","CG2493",13,NA,NA,NA
"","38897","CG7927",8,NA,NA,NA
"","44118","vih",14,NA,NA,NA
"","43282","CG5987",7,NA,NA,NA
"","40261","mRpL15",5,NA,NA,NA
"","38740","CG8368",12,NA,NA,NA
"","40935","Prat",12,NA,NA,NA
"","42834","Aats-glupro",6,NA,NA,NA
"","33261","CG3862",7,NA,NA,NA
"","33047","CG1702",7,NA,NA,NA
"","39127","CG33696",18,NA,NA,NA
"","38012","Kr",31,NA,NA,NA
"","3346166","CG14300",2,NA,NA,NA
"","40745","Gasp",37,NA,NA,NA
"","36361","CG8830",16,NA,NA,NA
"","43003","veli",4,NA,NA,NA
"","36328","CG13167",9,NA,NA,NA
"","31039","CG3708",3,NA,NA,NA
"","33981","smt3",15,NA,NA,NA
"","44637","cutlet",4,NA,NA,NA
"","42434","CG5412",3,NA,NA,NA
"","31347","CG2938",18,NA,NA,NA
"","31630","Cht11",17,NA,NA,NA
"","33033","l(1)G0004",10,NA,NA,NA
"","35105","CG10178",6,NA,NA,NA
"","37144","CG5482",24,NA,NA,NA
"","36968","veil",14,NA,NA,NA
"","40213","CG7017",6,NA,NA,NA
"","37724","bw",16,NA,NA,NA
"","326129","CG31244",7,NA,NA,NA
"","64867","nol",12,NA,NA,NA
"","50286","Nplp2",7,NA,NA,NA
"","33784","CG14014",5,NA,NA,NA
"","45021","Zfrp8",7,NA,NA,NA
"","34567","CG14926",14,NA,NA,NA
"","41591","Paip2",16,NA,NA,NA
"","33462","CG9894",32,NA,NA,NA
"","42651","CG7046",10,NA,NA,NA
"","42835","AP-1sigma",21,NA,NA,NA
"","41942","mor",6,NA,NA,NA
"","34385","Cdk5alpha",16,NA,NA,NA
"","36314","DebB",4,NA,NA,NA
"","326182","CG31988",7,NA,NA,NA
"","39599","CG13477",10,NA,NA,NA
"","32963","MKP-4",25,NA,NA,NA
"","37873","Nop60B",44,NA,NA,NA
"","40522","CG12581",18,NA,NA,NA
"","34914","CG11864",1,NA,NA,NA
"","41316","CG6608",15,NA,NA,NA
"","40054","Rad9",11,NA,NA,NA
"","31379","bi",18,"y","D","L"
"","40060","RpL26",3,NA,NA,NA
"","38766","bin",10,NA,NA,NA
"","31292","kirre",4,NA,NA,NA
"","42709","CG17244",3,NA,NA,NA
